source,segment,feature,column_name,hypothesis_tested,outliers_removed,p_value,t_statistic,significant_ttest (p<0.05),optimal_threshold,roc_auc,roc_positive_class_for_metrics,sensitivity_of_roc_pos_class,specificity_for_other_class,f1_score_of_roc_pos_class,n_arvc_initial,n_healthy_initial,plot_roc_path,plot_cm_path,plot_boxplot_path,plot_ttest_dist_path
OO_yz,T,Area,t_Area,data2_greater,True,0.04521817101738316,-1.845157630921805,True,33.22403395161963,0.7777777777777778,Healthy,0.6666666666666666,0.8571428571428571,0.75,8,11,Results/OO_yz/Generated_Plots/OO_yz_T_Area_roc.png,Results/OO_yz/Generated_Plots/OO_yz_T_Area_cm.png,Results/OO_yz/Generated_Plots/OO_yz_T_Area_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_T_Area_tdist.png
OO_yz,T,T-Dist,t_T-Dist,data2_greater,True,0.4607998799813751,-0.10016043968849245,False,4.453419091047935,0.5277777777777778,Healthy,0.6666666666666666,0.625,0.6666666666666666,8,11,Results/OO_yz/Generated_Plots/OO_yz_T_T-Dist_roc.png,Results/OO_yz/Generated_Plots/OO_yz_T_T-Dist_cm.png,Results/OO_yz/Generated_Plots/OO_yz_T_T-Dist_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_T_T-Dist_tdist.png
OO_yz,T,Compact,t_Compact,data2_greater,False,0.32523155022773353,-0.46224474760360523,False,0.225795058487827,0.5454545454545455,Healthy,0.9090909090909091,0.25,0.7407407407407407,8,11,Results/OO_yz/Generated_Plots/OO_yz_T_Compact_roc.png,Results/OO_yz/Generated_Plots/OO_yz_T_Compact_cm.png,Results/OO_yz/Generated_Plots/OO_yz_T_Compact_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_T_Compact_tdist.png
OO_yz,T,Angle,t_Angle,not_equal,False,0.9669122388346096,-0.04209715577490842,False,31.070626298924523,0.4545454545454546,Healthy,0.18181818181818182,1.0,0.3076923076923077,8,11,Results/OO_yz/Generated_Plots/OO_yz_T_Angle_roc.png,Results/OO_yz/Generated_Plots/OO_yz_T_Angle_cm.png,Results/OO_yz/Generated_Plots/OO_yz_T_Angle_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_T_Angle_tdist.png
OO_yz,QRS,Area,qrs_Area,data2_greater,True,0.7045182806338098,0.5524297937323398,False,8.157993090153028,0.4625,Healthy,1.0,0.25,0.7692307692307693,8,11,Results/OO_yz/Generated_Plots/OO_yz_QRS_Area_roc.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Area_cm.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Area_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Area_tdist.png
OO_yz,QRS,T-Dist,qrs_T-Dist,data2_greater,True,0.5955556978317804,0.24979394879971922,False,15.570093168771534,0.6125,Healthy,1.0,0.5,0.8333333333333334,8,11,Results/OO_yz/Generated_Plots/OO_yz_QRS_T-Dist_roc.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_T-Dist_cm.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_T-Dist_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_T-Dist_tdist.png
OO_yz,QRS,Compact,qrs_Compact,data2_greater,True,0.5268953314077313,0.0686187071935597,False,0.0814954438769335,0.5113636363636364,Healthy,0.9090909090909091,0.25,0.7407407407407407,8,11,Results/OO_yz/Generated_Plots/OO_yz_QRS_Compact_roc.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Compact_cm.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Compact_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Compact_tdist.png
OO_yz,QRS,Angle,qrs_Angle,not_equal,False,0.37305945208569213,0.9172412673946917,False,-90.0,0.6704545454545454,ARVC,0.625,0.8181818181818182,0.6666666666666666,8,11,Results/OO_yz/Generated_Plots/OO_yz_QRS_Angle_roc.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Angle_cm.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Angle_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_QRS_Angle_tdist.png
OO_yz,ST,Area,st_Area,data2_greater,True,0.005493701953260065,-3.2638300932415496,True,6.058198255432558,0.962962962962963,Healthy,0.8888888888888888,1.0,0.9411764705882353,8,11,Results/OO_yz/Generated_Plots/OO_yz_ST_Area_roc.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Area_cm.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Area_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Area_tdist.png
OO_yz,ST,T-Dist,st_T-Dist,data2_greater,True,0.2267936690256701,-0.7712754943236446,False,4.563870563531784,0.6071428571428572,Healthy,0.6,0.7142857142857143,0.6666666666666666,8,11,Results/OO_yz/Generated_Plots/OO_yz_ST_T-Dist_roc.png,Results/OO_yz/Generated_Plots/OO_yz_ST_T-Dist_cm.png,Results/OO_yz/Generated_Plots/OO_yz_ST_T-Dist_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_ST_T-Dist_tdist.png
OO_yz,ST,Compact,st_Compact,data2_greater,True,0.2589019839590234,-0.663811670613914,False,0.0541625807664335,0.6704545454545454,Healthy,0.9090909090909091,0.5,0.8,8,11,Results/OO_yz/Generated_Plots/OO_yz_ST_Compact_roc.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Compact_cm.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Compact_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Compact_tdist.png
OO_yz,ST,Angle,st_Angle,not_equal,False,0.25651100220856093,-1.190828490972723,False,-68.43692653392583,0.5795454545454546,Healthy,0.9090909090909091,0.5,0.8,8,11,Results/OO_yz/Generated_Plots/OO_yz_ST_Angle_roc.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Angle_cm.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Angle_boxplot.png,Results/OO_yz/Generated_Plots/OO_yz_ST_Angle_tdist.png
