source,segment,feature,column_name,hypothesis_tested,outliers_removed,p_value,t_statistic,significant_ttest (p<0.05),optimal_threshold,roc_auc,roc_positive_class_for_metrics,sensitivity_of_roc_pos_class,specificity_for_other_class,f1_score_of_roc_pos_class,n_arvc_initial,n_healthy_initial,plot_roc_path,plot_cm_path,plot_boxplot_path,plot_ttest_dist_path
OR_xy,T,Area,t_Area,data2_greater,True,0.0018512164475615025,-4.121100281861687,True,23.19798198372013,0.8775510204081632,Healthy,0.8571428571428571,1.0,0.9230769230769231,7,9,Results/OR_xy/Generated_Plots/OR_xy_T_Area_roc.png,Results/OR_xy/Generated_Plots/OR_xy_T_Area_cm.png,Results/OR_xy/Generated_Plots/OR_xy_T_Area_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_T_Area_tdist.png
OR_xy,T,T-Dist,t_T-Dist,data2_greater,True,0.13766278160760975,-1.1717164168337801,False,10.311934067563856,0.625,Healthy,0.5,1.0,0.6666666666666666,7,9,Results/OR_xy/Generated_Plots/OR_xy_T_T-Dist_roc.png,Results/OR_xy/Generated_Plots/OR_xy_T_T-Dist_cm.png,Results/OR_xy/Generated_Plots/OR_xy_T_T-Dist_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_T_T-Dist_tdist.png
OR_xy,T,Compact,t_Compact,data2_greater,False,0.17615346057881204,-0.9621472705231857,False,0.4651422014361168,0.6031746031746033,Healthy,0.7777777777777778,0.5714285714285714,0.7368421052631579,7,9,Results/OR_xy/Generated_Plots/OR_xy_T_Compact_roc.png,Results/OR_xy/Generated_Plots/OR_xy_T_Compact_cm.png,Results/OR_xy/Generated_Plots/OR_xy_T_Compact_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_T_Compact_tdist.png
OR_xy,T,Angle,t_Angle,not_equal,False,0.869902483891674,-0.16772813843043285,False,-90.71277116585354,0.6349206349206349,Healthy,0.6666666666666666,0.7142857142857143,0.7058823529411765,7,9,Results/OR_xy/Generated_Plots/OR_xy_T_Angle_roc.png,Results/OR_xy/Generated_Plots/OR_xy_T_Angle_cm.png,Results/OR_xy/Generated_Plots/OR_xy_T_Angle_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_T_Angle_tdist.png
OR_xy,QRS,Area,qrs_Area,data2_greater,True,0.0494284078329906,-1.8532470991168961,True,93.94550819343556,0.7222222222222222,Healthy,0.5555555555555556,1.0,0.7142857142857143,7,9,Results/OR_xy/Generated_Plots/OR_xy_QRS_Area_roc.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Area_cm.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Area_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Area_tdist.png
OR_xy,QRS,T-Dist,qrs_T-Dist,data2_greater,True,0.04161957165421334,-1.8910514107523824,True,43.73893677165127,0.7301587301587301,Healthy,0.5555555555555556,1.0,0.7142857142857143,7,9,Results/OR_xy/Generated_Plots/OR_xy_QRS_T-Dist_roc.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_T-Dist_cm.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_T-Dist_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_T-Dist_tdist.png
OR_xy,QRS,Compact,qrs_Compact,data2_greater,True,0.42044340769201377,-0.20456815124612368,False,0.7492869580168176,0.4920634920634921,Healthy,0.2222222222222222,1.0,0.36363636363636365,7,9,Results/OR_xy/Generated_Plots/OR_xy_QRS_Compact_roc.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Compact_cm.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Compact_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Compact_tdist.png
OR_xy,QRS,Angle,qrs_Angle,not_equal,False,0.9913508359711787,-0.011262549971188392,False,-104.5401488532608,0.7619047619047619,Healthy,0.7777777777777778,0.8571428571428571,0.8235294117647058,7,9,Results/OR_xy/Generated_Plots/OR_xy_QRS_Angle_roc.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Angle_cm.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Angle_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_QRS_Angle_tdist.png
OR_xy,ST,Area,st_Area,data2_greater,True,0.038823577372756976,-2.0108688292147603,True,15.475859471960831,0.7291666666666667,Healthy,0.5,1.0,0.6666666666666666,7,9,Results/OR_xy/Generated_Plots/OR_xy_ST_Area_roc.png,Results/OR_xy/Generated_Plots/OR_xy_ST_Area_cm.png,Results/OR_xy/Generated_Plots/OR_xy_ST_Area_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_ST_Area_tdist.png
OR_xy,ST,T-Dist,st_T-Dist,data2_greater,True,0.34803782336028066,-0.39878310994181093,False,6.645690747575269,0.5238095238095238,Healthy,0.3333333333333333,0.8571428571428571,0.46153846153846156,7,9,Results/OR_xy/Generated_Plots/OR_xy_ST_T-Dist_roc.png,Results/OR_xy/Generated_Plots/OR_xy_ST_T-Dist_cm.png,Results/OR_xy/Generated_Plots/OR_xy_ST_T-Dist_boxplot.png,Results/OR_xy/Generated_Plots/OR_xy_ST_T-Dist_tdist.png
