source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ui_lower,p_value_ui_upper,t_stat_mean,t_stat_ui_lower,t_stat_ui_upper,threshold_mean,threshold_ui_lower,threshold_ui_upper,sensitivity_mean,sensitivity_ui_lower,sensitivity_ui_upper,specificity_mean,specificity_ui_lower,specificity_ui_upper,f1_score_mean,f1_score_ui_lower,f1_score_ui_upper,auc_mean,auc_ui_lower,auc_ui_upper
OR_xy,T,Area_Net,t_Area_Net,not_equal,False,5000,True,Healthy,9,11,0.03372409539295908,0.02000274929671276,0.054802321235094285,2.478214501337117,2.17384981156994,2.7635775071237334,5.355404811030912,2.0099421972336957,10.29011833695647,0.8853818181818182,0.7272727272727273,1.0,0.9845111111111113,0.8888888888888888,1.0,0.9314866550434057,0.8421052631578947,1.0,0.957030303030303,0.8585858585858587,1.0
OR_xy,T,Area_Hull,t_Area_Hull,not_equal,False,5000,True,Healthy,9,11,0.02705114763601891,0.012337981197176245,0.04793716780181199,2.620230422109002,2.252374201417178,3.0423088685676936,15.871595112917147,9.50357961052008,26.808735027162314,0.883490909090909,0.8181818181818182,0.9090909090909091,0.9958444444444445,0.8888888888888888,1.0,0.9358672712083238,0.8571428571428571,0.9523809523809523,0.9338909090909092,0.8484848484848484,0.9696969696969697
OR_xy,T,Solidity,t_Solidity,not_equal,False,5000,False,Healthy,9,11,0.25652545920810194,0.07643779648743664,0.5658368530311214,1.2456226668057504,0.5856005720262071,1.9197998960315836,0.6302595261803812,0.3046959382723286,0.8264075817595883,0.8008545454545456,0.6363636363636364,1.0,0.6226444444444446,0.4444444444444444,0.7777777777777778,0.7576263138150569,0.6666666666666666,0.8333333333333334,0.6336262626262626,0.5454545454545454,0.7171717171717171
OR_xy,T,Distance,t_Distance,not_equal,False,5000,True,Healthy,9,11,0.01245486663358056,0.0035606821593628817,0.031393567503859965,3.062810932444028,2.4626199236936452,3.6634495591682437,11.162304182371177,8.237097544131489,13.25440341459659,0.747909090909091,0.6363636363636364,0.8181818181818182,0.9964,0.8888888888888888,1.0,0.8528777352883877,0.7777777777777778,0.9,0.846969696969697,0.7575757575757576,0.9191919191919192
OR_xy,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,9,11,0.23497171869563066,0.12086332617990465,0.4070379346665048,1.258754236680258,0.8566493626756575,1.63268322515361,0.16835681989210868,0.06460532153502489,0.275121608513291,0.7351272727272727,0.6363636363636364,1.0,0.8371111111111111,0.5555555555555556,0.8888888888888888,0.7833868445501443,0.7368421052631579,0.8695652173913043,0.7629191919191919,0.686868686868687,0.8282828282828283
OR_xy,T,Angle,t_Angle,not_equal,False,5000,False,Healthy,9,11,0.5157600651286844,0.016880796478103914,0.9797560254828509,0.6704427924594102,-0.6129773230298406,2.666364438239623,7.2515462979572565,-102.0721097453363,323.3985020434442,0.4702848484848485,0.1111111111111111,0.8181818181818182,0.9031434343434342,0.6666666666666666,1.0,0.547047992980188,0.2,0.8421052631578947,0.5734525252525252,0.26262626262626265,0.8383838383838383
OR_xy,QRS,Area_Net,qrs_Area_Net,not_equal,False,5000,True,Healthy,9,11,0.0364810054211453,0.02159148439408727,0.059062027203284885,2.4272745743976123,2.126737621555735,2.7098163261049257,113.23203907036017,76.96636917514971,170.33965450148355,0.6072545454545455,0.5454545454545454,0.6363636363636364,0.9977333333333332,1.0,1.0,0.7536581890615778,0.7058823529411765,0.7777777777777778,0.7865979797979799,0.7373737373737375,0.8282828282828283
OR_xy,QRS,Area_Hull,qrs_Area_Hull,not_equal,False,5000,True,Healthy,9,11,0.034258095718946446,0.019378692168720037,0.056845961548113555,2.467120277032783,2.150167286837029,2.7731643001602264,130.32777613037385,81.39895520001858,242.37814767178565,0.6088,0.5454545454545454,0.6363636363636364,0.9992444444444445,1.0,1.0,0.7556061017626875,0.7058823529411765,0.7777777777777778,0.7744909090909091,0.7272727272727273,0.8181818181818182
OR_xy,QRS,Solidity,qrs_Solidity,not_equal,False,5000,False,Healthy,9,11,0.3028125572666083,0.03122242077613044,0.8943171836628635,1.2413839263986448,0.003513993196814753,2.455828672771041,0.9072828699251994,0.7690844915942143,0.9843813237270331,0.7602,0.36363636363636365,1.0,0.6560242424242424,0.3333333333333333,1.0,0.735609687434961,0.5333333333333333,0.8461538461538461,0.6642868686868687,0.48484848484848486,0.8282828282828283
OR_xy,QRS,Distance,qrs_Distance,not_equal,False,5000,True,Healthy,9,11,0.010628146962599486,0.004209551961985041,0.023298256593300207,3.0815895381972926,2.5774146949393604,3.5611454471485633,30.851970538465096,15.399285324074127,47.42247622673312,0.6528909090909091,0.5454545454545454,0.9090909090909091,0.9476444444444445,0.7777777777777778,1.0,0.7666858608030966,0.7058823529411765,0.8421052631578947,0.7850767676767677,0.7070707070707072,0.8383838383838385
