source,segment,feature,column_name,hypothesis_tested,outliers_removed,p_value,t_statistic,significant_ttest (p<0.05),optimal_threshold,roc_auc,roc_positive_class_for_metrics,sensitivity_of_roc_pos_class,specificity_for_other_class,f1_score_of_roc_pos_class,n_arvc_initial,n_healthy_initial,plot_roc_path,plot_cm_path,plot_boxplot_path,plot_ttest_dist_path
OW_yz,T,Area,t_Area,data2_greater,True,0.019080891269334332,-2.395253490905853,True,14.559913367292978,0.7857142857142857,Healthy,0.7,0.8571428571428571,0.7777777777777778,7,11,Results/OW_yz/Generated_Plots/OW_yz_T_Area_roc.png,Results/OW_yz/Generated_Plots/OW_yz_T_Area_cm.png,Results/OW_yz/Generated_Plots/OW_yz_T_Area_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_T_Area_tdist.png
OW_yz,T,T-Dist,t_T-Dist,data2_greater,True,0.02100275546220656,-2.32271161983789,True,8.838314714573134,0.7,Healthy,0.7,1.0,0.8235294117647058,7,11,Results/OW_yz/Generated_Plots/OW_yz_T_T-Dist_roc.png,Results/OW_yz/Generated_Plots/OW_yz_T_T-Dist_cm.png,Results/OW_yz/Generated_Plots/OW_yz_T_T-Dist_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_T_T-Dist_tdist.png
OW_yz,T,Compact,t_Compact,data2_greater,False,0.0348097458569934,-1.9559514286177286,True,0.490928921913769,0.7012987012987013,Healthy,0.45454545454545453,1.0,0.625,7,11,Results/OW_yz/Generated_Plots/OW_yz_T_Compact_roc.png,Results/OW_yz/Generated_Plots/OW_yz_T_Compact_cm.png,Results/OW_yz/Generated_Plots/OW_yz_T_Compact_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_T_Compact_tdist.png
OW_yz,T,Angle,t_Angle,not_equal,False,0.02755872551457675,-2.442920672960185,True,42.49636774169232,0.7662337662337662,Healthy,0.45454545454545453,1.0,0.625,7,11,Results/OW_yz/Generated_Plots/OW_yz_T_Angle_roc.png,Results/OW_yz/Generated_Plots/OW_yz_T_Angle_cm.png,Results/OW_yz/Generated_Plots/OW_yz_T_Angle_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_T_Angle_tdist.png
OW_yz,QRS,Area,qrs_Area,data2_greater,True,0.054297249009710995,-1.7394398036722822,False,151.71243851792065,0.7,Healthy,0.4,1.0,0.5714285714285714,7,11,Results/OW_yz/Generated_Plots/OW_yz_QRS_Area_roc.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Area_cm.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Area_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Area_tdist.png
OW_yz,QRS,T-Dist,qrs_T-Dist,data2_greater,True,0.3172580541382818,-0.493233332577943,False,14.124775787344143,0.5857142857142857,Healthy,1.0,0.42857142857142855,0.8333333333333334,7,11,Results/OW_yz/Generated_Plots/OW_yz_QRS_T-Dist_roc.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_T-Dist_cm.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_T-Dist_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_T-Dist_tdist.png
OW_yz,QRS,Compact,qrs_Compact,data2_greater,True,0.5507513263288565,0.13070153886188626,False,0.3509841445478863,0.48051948051948057,Healthy,0.8181818181818182,0.42857142857142855,0.75,7,11,Results/OW_yz/Generated_Plots/OW_yz_QRS_Compact_roc.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Compact_cm.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Compact_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Compact_tdist.png
OW_yz,QRS,Angle,qrs_Angle,not_equal,False,0.6886297125858492,0.40907612541748795,False,-126.1268895673326,0.6233766233766234,ARVC,0.8571428571428571,0.5454545454545454,0.6666666666666666,7,11,Results/OW_yz/Generated_Plots/OW_yz_QRS_Angle_roc.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Angle_cm.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Angle_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_QRS_Angle_tdist.png
OW_yz,ST,Area,st_Area,data2_greater,True,0.259477948497569,-0.6644033025670464,False,7.936986802928246,0.6623376623376623,Healthy,0.7272727272727273,0.7142857142857143,0.7619047619047619,7,11,Results/OW_yz/Generated_Plots/OW_yz_ST_Area_roc.png,Results/OW_yz/Generated_Plots/OW_yz_ST_Area_cm.png,Results/OW_yz/Generated_Plots/OW_yz_ST_Area_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_ST_Area_tdist.png
OW_yz,ST,T-Dist,st_T-Dist,data2_greater,True,0.6470990588684802,0.3897701325135755,False,2.8893023868743986,0.35,Healthy,0.4,0.6666666666666666,0.5,7,11,Results/OW_yz/Generated_Plots/OW_yz_ST_T-Dist_roc.png,Results/OW_yz/Generated_Plots/OW_yz_ST_T-Dist_cm.png,Results/OW_yz/Generated_Plots/OW_yz_ST_T-Dist_boxplot.png,Results/OW_yz/Generated_Plots/OW_yz_ST_T-Dist_tdist.png
