source,segment,feature,column_name,hypothesis_tested,outliers_removed,p_value,t_statistic,significant_ttest (p<0.05),optimal_threshold,roc_auc,roc_positive_class_for_metrics,sensitivity_of_roc_pos_class,specificity_for_other_class,f1_score_of_roc_pos_class,n_arvc_initial,n_healthy_initial,plot_roc_path,plot_cm_path,plot_boxplot_path,plot_ttest_dist_path
YQ_xy,T,Area,t_Area,data2_greater,True,0.1043610612854227,-1.3608218815215034,False,26.66126302543813,0.8142857142857143,Healthy,1.0,0.7142857142857143,0.9090909090909091,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_T_Area_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Area_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Area_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Area_tdist.png
YQ_xy,T,T-Dist,t_T-Dist,data2_greater,True,0.0396191425747661,-1.894199011432996,True,4.493332073193499,0.75,Healthy,1.0,0.5,0.8461538461538461,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_T_T-Dist_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_T-Dist_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_T-Dist_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_T-Dist_tdist.png
YQ_xy,T,Compact,t_Compact,data2_greater,False,0.7795667639037998,0.8031622091795881,False,0.2270791206734943,0.36363636363636365,Healthy,1.0,0.125,0.7586206896551724,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_T_Compact_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Compact_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Compact_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Compact_tdist.png
YQ_xy,T,Angle,t_Angle,not_equal,False,0.7766222686911196,-0.28842601709378535,False,113.84752405155886,0.5909090909090909,Healthy,0.45454545454545453,0.875,0.5882352941176471,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_T_Angle_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Angle_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Angle_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_T_Angle_tdist.png
YQ_xy,QRS,Area,qrs_Area,data2_greater,True,0.33234381765950866,-0.4482409547193506,False,36.45244454855373,0.6571428571428571,Healthy,1.0,0.42857142857142855,0.8333333333333334,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Area_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Area_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Area_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Area_tdist.png
YQ_xy,QRS,T-Dist,qrs_T-Dist,data2_greater,True,0.045172337321623825,-1.9083208402054213,True,25.46078675761158,0.7571428571428571,Healthy,0.9,0.7142857142857143,0.8571428571428571,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_T-Dist_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_T-Dist_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_T-Dist_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_T-Dist_tdist.png
YQ_xy,QRS,Compact,qrs_Compact,data2_greater,True,0.3457988505215491,-0.40598003749252737,False,0.2240710056794332,0.5909090909090909,Healthy,0.8181818181818182,0.5,0.75,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Compact_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Compact_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Compact_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Compact_tdist.png
YQ_xy,QRS,Angle,qrs_Angle,not_equal,False,0.3943647136877677,-0.8739134668828519,False,153.28396294929811,0.6022727272727273,Healthy,0.45454545454545453,1.0,0.625,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Angle_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Angle_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Angle_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_QRS_Angle_tdist.png
YQ_xy,ST,Area,st_Area,data2_greater,True,0.36583682811371554,-0.35388026447896603,False,9.993069704607676,0.6984126984126984,Healthy,0.8888888888888888,0.7142857142857143,0.8421052631578947,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_ST_Area_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_ST_Area_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_ST_Area_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_ST_Area_tdist.png
YQ_xy,ST,T-Dist,st_T-Dist,data2_greater,True,0.3198174993531047,-0.48336828323082903,False,4.831834806374126,0.6558441558441559,Healthy,0.7272727272727273,0.7142857142857143,0.7619047619047619,8,11,Results/YQ_xy/Generated_Plots/YQ_xy_ST_T-Dist_roc.png,Results/YQ_xy/Generated_Plots/YQ_xy_ST_T-Dist_cm.png,Results/YQ_xy/Generated_Plots/YQ_xy_ST_T-Dist_boxplot.png,Results/YQ_xy/Generated_Plots/YQ_xy_ST_T-Dist_tdist.png
