source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
C1_xy,T,Area,t_Area,not_equal,True,500,0.04577907655088569,0.007643205463440661,0.1595566458862748,-2.439828893704276,-3.380254200996534,-1.4920070666484118,True,6.619258534180986,3.1806781735662506,9.502774650304856,0.7760930535513869,0.625,0.9,Healthy,0.7323535353535353,0.5,0.9,0.9208293650793651,0.6666666666666666,1.0,0.8125430790123415,0.6666666666666666,0.9473684210526315,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_f1_score_mc_dist.pdf
C1_xy,T,T-Dist,t_T-Dist,not_equal,True,500,0.05822307436542128,0.006530865222524256,0.16920727539160013,-2.181980918866792,-3.1308439551646026,-1.4337329218001649,False,8.267922541697978,5.1194733507423775,12.727959994733213,0.7341944444444445,0.6363636363636364,0.8341856060606059,Healthy,0.6790757575757576,0.36363636363636365,0.9090909090909091,0.7910833333333334,0.5555555555555556,1.0,0.7214963519041794,0.5333333333333333,0.8421052631578947,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_f1_score_mc_dist.pdf
C1_xy,T,Compact,t_Compact,not_equal,False,500,0.5741036889330149,0.2694995122580402,0.9733162192341926,0.5876837709835115,-0.07424399030562813,1.1525574429729728,False,0.38743213262876414,0.05860379635511964,1.1081116965256956,0.581462962962963,0.4907407407407407,0.6666666666666666,ARVC,0.6159444444444443,0.2222222222222222,0.9472222222222196,0.6621666666666668,0.3333333333333333,1.0,0.5783180390904767,0.3333333333333333,0.7,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_f1_score_mc_dist.pdf
C1_xy,T,Angle,t_Angle,not_equal,False,500,0.0834037827632091,0.01336748585721512,0.4209058809378326,2.067478717403705,0.8247175976374654,2.746584183364974,False,-49.759754225272815,-55.20099911806519,-47.781802626321884,0.778888888888889,0.6944444444444444,0.8518518518518519,ARVC,0.8891111111111113,0.8888888888888888,0.8888888888888888,0.7545,0.5833333333333334,0.8333333333333334,0.8036626189980882,0.7368421052631579,0.8421052631578947,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_f1_score_mc_dist.pdf
C1_xy,QRS,Area,qrs_Area,not_equal,True,500,0.1251231237683497,0.01462434928397139,0.5942405323119914,-1.9188775748204965,-2.8540289298870003,-0.5248949329708895,False,66.00380515834232,4.147279223145305,156.09570494775048,0.686448575036075,0.5575892857142858,0.7922077922077921,Healthy,0.5301242424242424,0.3333333333333333,0.9166666666666666,0.9036309523809524,0.4444444444444444,1.0,0.6543861436867415,0.48455882352941204,0.8231191222570531,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_f1_score_mc_dist.pdf
C1_xy,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.34474512219263764,0.004850252100005532,0.9234062781043251,-1.222779235559287,-3.2744575243579077,0.14840814731497848,False,13.553792561295724,8.519234065277356,31.071364591353635,0.6711855960397627,0.4897685185185185,0.8571428571428572,Healthy,0.8920858585858586,0.38882575757575816,1.0,0.5703222222222222,0.3333333333333333,1.0,0.7953479724489476,0.5158333333333337,0.8888888888888888,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_f1_score_mc_dist.pdf
C1_xy,QRS,Compact,qrs_Compact,not_equal,True,500,0.4126641403067456,0.05704332924982879,0.968355165400612,0.8689328306547863,-0.7678021080667027,2.165655104555036,False,0.282102113650542,0.05321862569792357,0.5947009570488927,0.6223276936026936,0.48863636363636365,0.7747619047619045,ARVC,0.6462028860028861,0.2727272727272727,1.0,0.7242503607503608,0.2607954545454548,1.0,0.6396793527082341,0.42857142857142855,0.8,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_f1_score_mc_dist.pdf
C1_xy,QRS,Angle,qrs_Angle,not_equal,False,500,0.5957637593081246,0.05637354508511213,0.9850687297124637,0.4892375950295589,-0.5789813870805296,2.0446641271060604,False,-34.81284485268834,-82.86042626321328,118.80617144997959,0.5929259259259259,0.34259259259259256,0.7777777777777778,ARVC,0.6603333333333332,0.08333333333333333,1.0,0.6865555555555557,0.1111111111111111,1.0,0.6100205279044908,0.15384615384615385,0.7777777777777778,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_f1_score_mc_dist.pdf
C1_xy,ST,Area,st_Area,not_equal,True,500,0.36201566600661156,0.017092579015583035,0.9673244669595621,-0.8360451945678301,-2.7853744226694825,1.3943234219700942,False,12.78467769632307,-0.5979165434108904,49.77839914220416,0.6181109382945098,0.4401988636363637,0.8451488095238093,Healthy,0.582896176046176,0.25,1.0,0.806356277056277,0.3,1.0,0.639933932128704,0.36363636363636365,0.8571428571428571,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_f1_score_mc_dist.pdf
C1_xy,ST,T-Dist,st_T-Dist,not_equal,True,500,0.3955709089212569,0.015096069173710158,0.9499148867814474,-0.39550960077354524,-2.786144011124391,1.828472083998548,False,3.257820607578277,-0.7107091810954105,12.751830191784475,0.6190627372935705,0.43628472222222225,0.8419472502805836,ARVC,0.6142389610389609,0.25,1.0,0.7715344155844157,0.2607954545454548,1.0,0.6420028313397583,0.36363636363636365,0.8636645962732916,9,12,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_f1_score_mc_dist.pdf
