source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
OQ_xy,T,Area,t_Area,not_equal,True,500,0.0006468618720472739,0.0001353649582046713,0.0020775145239143025,-4.933918672770291,-5.798733720672585,-3.9856617861876176,True,8.443240436255264,4.0069558502622185,12.274126455386227,0.9297906565656565,0.8863636363636364,0.9545454545454546,Healthy,0.8896181818181816,0.8181818181818182,0.9090909090909091,0.9941111111111111,0.875,1.0,0.9389786125392533,0.9,0.9523809523809523,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Area_f1_score_mc_dist.pdf
OQ_xy,T,T-Dist,t_T-Dist,not_equal,True,500,0.05846816604715332,0.0008178791763175793,0.31794551807779137,-2.587870578485331,-4.3273695962179675,-1.0280008518474135,False,5.424944029504788,3.6760324504933655,8.480382478149224,0.7691176767985101,0.6043181818181819,0.918655303030303,Healthy,0.7294499611499612,0.45786713286713293,0.9230769230769231,0.8657992063492063,0.6,1.0,0.7927476044049482,0.6118750000000003,0.9166666666666666,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_T-Dist_f1_score_mc_dist.pdf
OQ_xy,T,Compact,t_Compact,not_equal,False,500,0.010352697310564722,0.0018065080707647646,0.030902488266325093,-2.9781213868697423,-3.6499374377074125,-2.3243730898629895,True,0.5791109035693646,0.24707059833687176,0.8968026664579245,0.7924769230769232,0.7153846153846154,0.8461538461538463,Healthy,0.6555384615384615,0.46153846153846156,0.9230769230769231,0.8934,0.6,1.0,0.7494101627609676,0.631578947368421,0.8461538461538461,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Compact_f1_score_mc_dist.pdf
OQ_xy,T,Angle,t_Angle,not_equal,False,500,0.8034260791966933,0.5138223664935081,0.990328925017831,0.11882209467583527,-0.43648774241425425,0.6653242726918319,False,-22.030850040002655,-140.077923411046,140.20674434514345,0.5196307692307692,0.4615384615384615,0.5846153846153846,ARVC,0.6959384615384616,0.3076923076923077,1.0,0.560476923076923,0.15384615384615385,1.0,0.5919525565447781,0.4444444444444444,0.7142857142857143,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_T_Angle_f1_score_mc_dist.pdf
OQ_xy,QRS,Area,qrs_Area,not_equal,True,500,0.03436462767720127,0.0011226110058206297,0.22002091196753495,-2.911826318855524,-4.273644260978502,-1.2729310433737617,True,23.456412962860323,12.303361848502734,53.39774571396536,0.7734779123654124,0.6255997474747474,0.8846153846153846,Healthy,0.7286222999223001,0.5,0.8461538461538461,0.9193571428571429,0.7777777777777778,1.0,0.812763228522872,0.6666666666666666,0.9166666666666666,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Area_f1_score_mc_dist.pdf
OQ_xy,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.05146793557402132,0.000565706324333116,0.40274078078341347,-2.814804311917493,-4.248993355995831,-0.8639472775781613,False,9.356123049909545,5.017198127034725,17.87845419633824,0.8202937913937914,0.6727151320901321,0.9134615384615385,Healthy,0.8164705128205128,0.5384615384615384,1.0,0.7889087301587301,0.5555555555555556,1.0,0.831794707244886,0.6825000000000003,0.9230769230769231,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_T-Dist_f1_score_mc_dist.pdf
OQ_xy,QRS,Compact,qrs_Compact,not_equal,True,500,0.5620812362688089,0.09313199742476845,0.9760220460617817,-0.5126891078804251,-1.77134633995245,0.8754416769449368,False,0.8426316495911328,0.08488638185502528,1.4507742242470985,0.5440544651644651,0.45384615384615384,0.6501923076923075,Healthy,0.44782463092463093,0.16666666666666666,1.0,0.8249803807303807,0.3,1.0,0.5256899305313089,0.2857142857142857,0.7586206896551724,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Compact_f1_score_mc_dist.pdf
OQ_xy,QRS,Angle,qrs_Angle,not_equal,False,500,0.7670139170914511,0.4116804102287451,0.9899191371213811,0.052078300877030366,-0.6810909822923846,0.7945495203254137,False,-23.79193811150606,-118.1594559126693,74.67171812083784,0.5350153846153847,0.3769230769230769,0.6846153846153846,ARVC,0.566323076923077,0.3,0.9230769230769231,0.8015538461538461,0.5,1.0,0.6213458926511314,0.42857142857142855,0.8275862068965517,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_QRS_Angle_f1_score_mc_dist.pdf
OQ_xy,ST,Area,st_Area,not_equal,True,500,0.16302429985682207,0.004180158336094999,0.8434746151701296,-1.941171257560492,-3.5532235481072627,0.25320012186620844,False,8.879529993957725,0.411998596043894,26.21085916739018,0.6786869766036432,0.4811075498575499,0.8608173076923076,Healthy,0.6117356254856255,0.3198717948717951,0.9166666666666666,0.8916559884559886,0.5502525252525253,1.0,0.7123497136160779,0.47058823529411764,0.8695652173913043,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_Area_f1_score_mc_dist.pdf
OQ_xy,ST,T-Dist,st_T-Dist,not_equal,True,500,0.3333071298244197,0.006587683041306632,0.9565100097699423,-1.14247137673186,-3.0657560025565385,1.0263632792039827,False,2.6679701441223473,-0.35720201808656127,6.028919309574073,0.6455906549006548,0.4879914529914531,0.8593919968919966,Healthy,0.6042037074037074,0.3036538461538462,1.0,0.8044446608946609,0.3198717948717951,1.0,0.663638455615199,0.4361111111111112,0.8636645962732916,10,13,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_tdist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_boxplot.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_roc.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_cm.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_p_value_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_threshold_mc_dist.pdf,Results/OQ_xy/Generated_Plots_MC/OQ_xy_ST_T-Dist_f1_score_mc_dist.pdf
