source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
OR_xy,T,Area,t_Area,not_equal,True,500,0.007348715195329438,0.002226175389069897,0.018875812006424932,-3.428424039771112,-4.041194730119557,-2.7862832610004844,True,13.218576615813733,5.682346280547623,19.989985996730265,0.8135865656565656,0.7181818181818183,0.8818181818181818,Healthy,0.714890909090909,0.6363636363636364,0.8181818181818182,0.9989777777777779,1.0,1.0,0.8325783067293903,0.7777777777777778,0.9,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_f1_score_mc_dist.pdf
OR_xy,T,T-Dist,t_T-Dist,not_equal,True,500,0.03824765437055859,0.00927009672416936,0.11967166811889472,-2.4081522660348664,-3.02609343285894,-1.6574562021784767,True,10.896269614931644,6.6649507854896,14.893210795223887,0.7655551443001444,0.6636363636363636,0.8454545454545455,Healthy,0.6495484848484848,0.4346590909090913,0.9130681818181816,0.8859420634920634,0.6,1.0,0.7345045968753332,0.605698529411765,0.8421052631578947,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_f1_score_mc_dist.pdf
OR_xy,T,Compact,t_Compact,not_equal,False,500,0.610040801606596,0.2452122049487352,0.9539749349723292,-0.5395526493007676,-1.2039457427542684,0.026431230866857752,False,0.23537709968504342,0.05807134567547437,0.5107113193836418,0.6581833333333333,0.4039583333333334,0.7333333333333334,Healthy,0.7483,0.2,1.0,0.6483333333333332,0.4,0.9166666666666666,0.7200094739375485,0.3076923076923077,0.8275862068965517,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_f1_score_mc_dist.pdf
OR_xy,T,Angle,t_Angle,not_equal,False,500,0.5378782100963426,0.3986908332797764,0.8206839939135709,0.6448534172243344,0.23148747972681222,0.8827683180050009,False,61.04005276378048,-57.41847918321253,78.65995488825617,0.3981166666666667,0.35,0.44166666666666665,ARVC,0.2131,0.2,0.3,0.9873333333333333,0.9166666666666666,1.0,0.34185897001549176,0.3333333333333333,0.42857142857142855,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_f1_score_mc_dist.pdf
OR_xy,QRS,Area,qrs_Area,not_equal,True,500,0.08169154772216061,0.021796405564052095,0.24189818070793956,-2.0453201681300506,-2.662768212408779,-1.2407615670775394,False,104.13831947652967,17.728959952881375,287.0694293471809,0.7263132098765431,0.604318181818182,0.828945707070707,Healthy,0.5657646464646465,0.3,0.9090909090909091,0.9045722222222223,0.4444444444444444,1.0,0.6764778587085978,0.46153846153846156,0.8181818181818182,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_f1_score_mc_dist.pdf
OR_xy,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.0684231032983892,0.007174527739331017,0.23720341883530915,-2.1305468470818907,-3.124436269289144,-1.220680970650804,False,37.11340576603565,14.42527133740527,51.058534907704605,0.7194456806156807,0.6173863636363637,0.8083333333333333,Healthy,0.5670636363636364,0.36363636363636365,0.8333333333333334,0.9146809523809525,0.547500000000001,1.0,0.6847385445767247,0.5333333333333333,0.8148148148148148,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_f1_score_mc_dist.pdf
OR_xy,QRS,Compact,qrs_Compact,not_equal,True,500,0.6242863570340074,0.119190096213388,0.973890455981667,-0.15856331737203158,-1.3693357521548788,1.2995620896599778,False,0.44556023741268413,0.07044984145480204,0.9191726672746354,0.5503797643097643,0.4727272727272727,0.65,Healthy,0.5809474747474748,0.17386363636363653,1.0,0.6984656565656564,0.2,1.0,0.5906394783210799,0.2961538461538464,0.7741935483870968,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_f1_score_mc_dist.pdf
OR_xy,QRS,Angle,qrs_Angle,not_equal,False,500,0.23299308490945383,0.0024438753989004277,0.9160218050006134,-1.6242592171667385,-3.474576173726673,0.2534359972269718,False,-96.74245808049808,-142.73129095210638,-77.02697641127547,0.7162166666666667,0.39999999999999997,0.8666666666666667,Healthy,0.6951999999999999,0.3333333333333333,1.0,0.7911333333333335,0.16666666666666666,1.0,0.7339322844680398,0.48455882352941204,0.8571428571428571,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_f1_score_mc_dist.pdf
OR_xy,ST,Area,st_Area,not_equal,True,500,0.33752225745316433,0.027650015202927702,0.946884593404987,-0.8850323881025751,-2.436691368901486,1.542417572080187,False,19.332142992763604,-0.24078184124049837,85.53804249557678,0.605237709607412,0.41825,0.8140692640692638,Healthy,0.5175134199134199,0.2,1.0,0.8391849927849928,0.3,1.0,0.5908152127008311,0.3333333333333333,0.8235294117647058,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_f1_score_mc_dist.pdf
OR_xy,ST,T-Dist,st_T-Dist,not_equal,True,500,0.4196089154111686,0.01289424479535034,0.9689081817242314,-0.4675686659838817,-2.846408727926085,1.6356498620403837,False,3.557951005187926,-0.8385910951790416,10.093872243361625,0.6094127861952862,0.46560606060606063,0.8130555555555555,Healthy,0.6340039682539682,0.2222222222222222,1.0,0.7276476911976912,0.2727272727272727,1.0,0.6444377856015383,0.36363636363636365,0.8,10,12,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_tdist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_boxplot.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_roc.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_cm.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_p_value_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_threshold_mc_dist.pdf,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_f1_score_mc_dist.pdf
