source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
OT_yz,T,Area,t_Area,not_equal,True,500,0.01980160318940291,0.007827919680844458,0.04069881885450206,-2.8242961790045724,-3.310916854323538,-2.346669688595607,True,40.58627169293064,15.938960278933964,65.9671462140288,0.8194084415584416,0.7272727272727272,0.8999999999999999,Healthy,0.6623818181818181,0.5,0.9,0.9522142857142858,0.7312500000000004,1.0,0.7750453130035039,0.6666666666666666,0.9,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Area_f1_score_mc_dist.pdf
OT_yz,T,T-Dist,t_T-Dist,not_equal,True,500,0.06506967332522723,0.0002700517590402196,0.24665362238816332,-2.3994914154235123,-5.055155150596233,-1.2029980508409144,False,11.795395615113321,8.32473518203776,15.423329036569633,0.7832212395210609,0.6375,0.96875,Healthy,0.701858585858586,0.42111111111111155,1.0,0.8968928571428572,0.625,1.0,0.7797511479636261,0.5923076923076928,0.9411764705882353,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_T-Dist_f1_score_mc_dist.pdf
OT_yz,T,Compact,t_Compact,not_equal,False,500,0.7797787116702999,0.4180226919859009,0.9937278641794562,-0.1683393287371588,-0.8202300199791436,0.47399830661204173,False,0.5814321116957658,0.059837811807630585,1.3524316834115881,0.5491363636363638,0.45994318181818195,0.6477272727272727,Healthy,0.61775,0.125,1.0,0.6353181818181819,0.25,1.0,0.6130750251898335,0.2222222222222222,0.7857142857142857,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Compact_f1_score_mc_dist.pdf
OT_yz,T,Angle,t_Angle,not_equal,False,500,0.48367308599599607,0.1426919973382268,0.9596899968923679,0.7701923499047559,-0.12135501121629481,1.5685153035775212,False,41.46702905615052,-30.227185515512712,153.0945507780307,0.5812045454545454,0.48863636363636365,0.6704545454545455,ARVC,0.5660454545454545,0.369034090909091,0.625,0.7919545454545455,0.6363636363636364,1.0,0.6105726150526459,0.5,0.7142857142857143,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_T_Angle_f1_score_mc_dist.pdf
OT_yz,QRS,Area,qrs_Area,not_equal,True,500,0.38059357878264766,0.06419238794319757,0.9301443609007959,-1.0086969883812478,-2.0980155563568292,0.190139149614972,False,164.32771603389284,16.648916115476396,325.81672008496093,0.5451382876382876,0.4305555555555556,0.65,Healthy,0.464529797979798,0.2,1.0,0.8808896825396826,0.36500000000000066,1.0,0.5767285570891022,0.3333333333333333,0.75,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Area_f1_score_mc_dist.pdf
OT_yz,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.6209464294898187,0.14950161740057671,0.9878883295132782,0.06751973438174885,-1.2887592473630867,1.4385585504176979,False,38.04706319815752,14.033370694576474,71.16868334063015,0.5559807990620491,0.46249999999999997,0.6666666666666667,Healthy,0.5307810966810966,0.18181818181818182,1.0,0.7523568542568543,0.2727272727272727,1.0,0.5681757168817433,0.3076923076923077,0.75,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_T-Dist_f1_score_mc_dist.pdf
OT_yz,QRS,Compact,qrs_Compact,not_equal,True,500,0.3516027358447345,0.00523060034714163,0.9638958523172476,-1.1997770308856435,-3.2907249677319057,0.43342602768913174,False,0.32757000861230834,0.11374575546487886,0.69476742855783,0.6482904852092353,0.48093750000000013,0.8323051948051948,Healthy,0.6482762626262627,0.21055555555555577,1.0,0.7637191197691198,0.36363636363636365,1.0,0.6855376852728541,0.34772727272727305,0.8636645962732916,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Compact_f1_score_mc_dist.pdf
OT_yz,QRS,Angle,qrs_Angle,not_equal,False,500,0.7758328749542761,0.464023542667465,0.9916811736311973,0.12161427445108856,-0.5895374649062887,0.7286110838687212,False,4.963034445941238,-156.1715664797871,178.91912916663722,0.5125227272727273,0.3977272727272727,0.6931818181818182,ARVC,0.58375,0.25,1.0,0.7195909090909093,0.375,1.0,0.5963294900006341,0.36363636363636365,0.8461538461538461,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_QRS_Angle_f1_score_mc_dist.pdf
OT_yz,ST,Area,st_Area,not_equal,True,500,0.43856269200921,0.034460754955761466,0.9729657264920407,-0.48635299301830687,-2.2432355882419044,2.0678728971061817,False,19.95946007944305,-1.0759762717316765,73.11380759006359,0.5961595692468907,0.3983333333333334,0.8110863095238094,Healthy,0.5870386002886002,0.2,1.0,0.7644603174603175,0.2669642857142861,1.0,0.6194365494904032,0.3333333333333333,0.8235294117647058,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Area_f1_score_mc_dist.pdf
OT_yz,ST,T-Dist,st_T-Dist,not_equal,True,500,0.2859533973967558,0.003949300510772586,0.9288103364230921,-1.3865031819370315,-3.4720088042604864,0.7447901552691086,False,4.479437696565588,-0.2581534852680285,9.57715745476924,0.6644422779667423,0.473125,0.8677272727272726,Healthy,0.6407639971139971,0.2727272727272727,1.0,0.8169881673881673,0.3,1.0,0.6957863581275965,0.42857142857142855,0.8695652173913043,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_T-Dist_f1_score_mc_dist.pdf
OT_yz,ST,Compact,st_Compact,not_equal,True,500,0.45325429213649127,0.01867041646821411,0.9735430362626983,-0.17454956959118448,-2.138770917616911,2.2834781273603335,False,0.43873664456092537,0.10278001409722588,0.9724856084510081,0.5879947041847042,0.4375,0.8055555555555556,Healthy,0.5903202741702741,0.2,1.0,0.77186443001443,0.2727272727272727,1.0,0.6124597317666155,0.3333333333333333,0.820989304812834,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Compact_f1_score_mc_dist.pdf
OT_yz,ST,Angle,st_Angle,not_equal,False,500,0.4063629921394396,0.11009596653636453,0.87968721218483,-0.9267946478711262,-1.694860656342149,-0.12351565375847866,False,46.78438194791423,-9.462853363850137,70.38547872528684,0.6522954545454545,0.4772727272727273,0.7613636363636364,Healthy,0.6695909090909091,0.45454545454545453,1.0,0.742590909090909,0.5,0.875,0.7119249490397828,0.5882352941176471,0.8181818181818182,8,11,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_tdist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_boxplot.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_roc.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_cm.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_p_value_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_threshold_mc_dist.pdf,Results/OT_yz/Generated_Plots_MC/OT_yz_ST_Angle_f1_score_mc_dist.pdf
