source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
C1_xy,T,Area,t_Area,not_equal,True,500,0.005697437551412197,0.0019840400233557117,0.012500896916320735,-3.4186099171329594,-3.9229670735007813,-2.9438268570413144,True,5.3988013154353425,3.787576273843928,7.95640007566121,0.8941344488844489,0.7947115384615386,0.9423076923076923,Healthy,0.8378892773892774,0.6923076923076923,0.9230769230769231,0.9913214285714287,0.875,1.0,0.9074969948891687,0.8181818181818182,0.96,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Area_f1_score_mc_dist.pdf
C1_xy,T,T-Dist,t_T-Dist,not_equal,True,500,0.10313314528130933,0.008862690997160673,0.4343796284049037,-1.9639421623838815,-2.98352245569927,-0.8022870195950584,False,9.827720570772142,6.340109134101658,14.28879545238187,0.6998104964479964,0.5703869047619048,0.8153502747252747,Healthy,0.548271250971251,0.3333333333333333,0.7949300699300689,0.9482857142857143,0.625,1.0,0.6875254581021902,0.5,0.8181818181818182,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_T-Dist_f1_score_mc_dist.pdf
C1_xy,T,Compact,t_Compact,not_equal,False,500,0.1524290913132297,0.03341485205223888,0.429204416558381,-1.5864134486234978,-2.2982999819634173,-0.8083706531674452,False,0.15408218363635143,0.07661429708689965,0.30393316548862004,0.7024807692307693,0.6057692307692307,0.8173076923076923,Healthy,0.8156923076923077,0.5384615384615384,1.0,0.67025,0.5,0.875,0.8046686866327478,0.6666666666666666,0.8888888888888888,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Compact_f1_score_mc_dist.pdf
C1_xy,T,Angle,t_Angle,not_equal,False,500,0.03501873310409215,0.007170226677375034,0.13602237290565983,2.584358527082512,1.575046918298127,3.294859419408922,True,-49.64986246606466,-53.884602607037856,-48.08633681817113,0.871,0.7692307692307693,0.9615384615384616,ARVC,0.98875,0.875,1.0,0.7523076923076923,0.6153846153846154,0.9230769230769231,0.8292493916815898,0.7368421052631579,0.9411764705882353,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_T_Angle_f1_score_mc_dist.pdf
C1_xy,QRS,Area,qrs_Area,not_equal,True,500,0.2652879546752789,0.025111987784197792,0.8650944999908011,-1.3338017936300413,-2.5250146807977174,0.3374582513048918,False,52.67770902216107,5.132364042761119,141.48745615578292,0.6097155233655234,0.4681107954545455,0.745052083333333,Healthy,0.5198076257076256,0.25,0.9634615384615367,0.8354891774891776,0.36363636363636365,1.0,0.6128078459832751,0.4,0.8,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Area_f1_score_mc_dist.pdf
C1_xy,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.17611578306936146,0.006750915403265176,0.7769681686845304,-1.713273263518133,-3.0567136807302937,-0.28900138044229745,False,15.126803212123864,8.321504921949222,32.11825046841758,0.7065428002553004,0.5399839743589744,0.8461538461538461,Healthy,0.8462223776223776,0.38461538461538464,1.0,0.6286203463203462,0.375,1.0,0.7988051310055679,0.5555555555555556,0.9166666666666666,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_T-Dist_f1_score_mc_dist.pdf
C1_xy,QRS,Compact,qrs_Compact,not_equal,True,500,0.18880916570814246,0.01988039978766556,0.7175040413696422,1.656771064748099,0.3392437564460865,2.768642412074709,False,0.30188632479290095,0.1372877042881336,0.5853774265287331,0.7069861381673882,0.546482683982684,0.849280303030303,ARVC,0.6582847985347985,0.375,0.875,0.8189469863469863,0.5,1.0,0.6753214343454067,0.5,0.8571428571428571,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Compact_f1_score_mc_dist.pdf
C1_xy,QRS,Angle,qrs_Angle,not_equal,False,500,0.25214993318751994,0.015611726327216137,0.9244196337157478,1.4902762324975907,-0.006892937160219353,2.8221864306880087,False,-51.37162996701924,-81.96406846653484,-35.56342867480522,0.7202307692307692,0.4266826923076928,0.8461538461538463,ARVC,0.7935,0.5,1.0,0.6928269230769231,0.1843750000000013,0.9230769230769231,0.6978462969455276,0.5882352941176471,0.8,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_QRS_Angle_f1_score_mc_dist.pdf
C1_xy,ST,Area,st_Area,not_equal,True,500,0.20219402076364795,0.005042713814017739,0.8913935253064718,-1.7675798768959825,-3.4591303088279144,0.160727208082179,False,11.673271281593614,0.8011761987997497,29.23576922155503,0.6740737716450217,0.4714285714285714,0.888888888888889,Healthy,0.6044733155733156,0.25,1.0,0.9022544733044733,0.4761363636363641,1.0,0.7066244551231562,0.4,0.9,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_Area_f1_score_mc_dist.pdf
C1_xy,ST,T-Dist,st_T-Dist,not_equal,True,500,0.15962433520121944,0.001411834499897921,0.8383499195867984,-2.0037192249891236,-3.945091374939808,0.07465441669363321,False,4.136679105132432,0.28207099531223445,9.431010836417876,0.7207050019425019,0.48411458333333346,0.9155357142857142,Healthy,0.6465528027528027,0.27889610389610403,0.9230769230769231,0.8861941613941614,0.5,1.0,0.7386300161109904,0.42857142857142855,0.9130681818181816,8,13,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_tdist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_boxplot.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_roc.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_cm.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_p_value_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_threshold_mc_dist.pdf,Results/C1_xy/Generated_Plots_MC/C1_xy_ST_T-Dist_f1_score_mc_dist.pdf
