source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
NL_yz,T,Area,t_Area,not_equal,True,500,0.030791859817998465,0.010828469771418001,0.06776592309133801,-2.514176124198083,-2.9763765567400786,-2.019524117690147,True,19.755314663669115,6.991168388297905,33.544434697987896,0.8241419802419803,0.7267045454545454,0.8928571428571428,Healthy,0.7163412587412588,0.5,0.9230769230769231,0.8877142857142857,0.7142857142857143,1.0,0.7954614976111369,0.6666666666666666,0.8888888888888888,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Area_f1_score_mc_dist.pdf
NL_yz,T,T-Dist,t_T-Dist,not_equal,True,500,0.19133993817315514,0.009643671489172494,0.8347148195709605,-1.650534817980716,-2.9366882461323263,0.04993455843098884,False,9.873120558825171,6.082667285098187,16.341754990239448,0.6622428626928627,0.5104458041958042,0.8241758241758241,Healthy,0.5756407092907093,0.3076923076923077,0.8461538461538461,0.8738911255411256,0.5,1.0,0.6841863235934816,0.47058823529411764,0.8421052631578947,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_T-Dist_f1_score_mc_dist.pdf
NL_yz,T,Compact,t_Compact,not_equal,False,500,0.7713990380778691,0.3978189729275875,0.9892796308546886,0.05618549174094335,-0.6761412757443809,0.8181718472651434,False,0.574770298943869,0.09864308451078836,1.1058801965162381,0.5375576923076923,0.45192307692307687,0.625,ARVC,0.6294807692307692,0.15384615384615385,1.0,0.6493269230769231,0.25,1.0,0.6143199013159842,0.26666666666666666,0.8125,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Compact_f1_score_mc_dist.pdf
NL_yz,T,Angle,t_Angle,not_equal,False,500,0.416141165575787,0.08201683451539767,0.9693676450280554,-0.9215735368503131,-1.8452144938599742,0.2498057258491704,False,63.55725987098021,-119.79489205646588,167.37880302354895,0.5452115384615385,0.4519230769230769,0.649278846153846,Healthy,0.3997692307692307,0.15384615384615385,1.0,0.8591923076923076,0.25,1.0,0.495641200011041,0.26666666666666666,0.8125,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_T_Angle_f1_score_mc_dist.pdf
NL_yz,QRS,Area,qrs_Area,not_equal,True,500,0.02463081244814653,0.0014021223552261688,0.16674976028552768,-3.043558224764592,-4.09202399603877,-1.4577106307569576,True,60.4071270212476,28.93500139899354,140.1616531131784,0.817585157897658,0.6819711538461539,0.9200320512820512,Healthy,0.7226620046620046,0.5384615384615384,0.8791958041958028,0.9355952380952381,0.7142857142857143,1.0,0.8194840351293063,0.6666666666666666,0.9166666666666666,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Area_f1_score_mc_dist.pdf
NL_yz,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.01782119179263654,6.1302147276672205e-06,0.14861977551611105,-3.9711631655329658,-7.262041934831181,-1.5747570174697818,True,18.8873559634994,11.743242252716449,25.81375214000136,0.8969423937173938,0.75,1.0,Healthy,0.8621385003885005,0.6666666666666666,1.0,0.894,0.625,1.0,0.8934575987747413,0.7619047619047619,1.0,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_T-Dist_f1_score_mc_dist.pdf
NL_yz,QRS,Compact,qrs_Compact,not_equal,True,500,0.4751161637177906,0.07388002290047269,0.9728094882876626,0.7083527111391489,-0.7703515935928619,2.0358431261089023,False,0.7365318260662791,0.11782500184800865,1.2085168545656626,0.5914077609890109,0.4849559294871795,0.7282670454545455,ARVC,0.539991341991342,0.25,0.9230769230769231,0.8278871683871685,0.2857142857142857,1.0,0.6039497093201465,0.38687500000000025,0.8,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Compact_f1_score_mc_dist.pdf
NL_yz,QRS,Angle,qrs_Angle,not_equal,False,500,0.5571697814588756,0.12922623713551656,0.9608847875717681,-0.5305574015950951,-1.6070101439981777,0.6330841093232741,False,1.4879341569033344,-147.21658736064228,185.73370358908917,0.6013076923076922,0.47115384615384615,0.7550480769230767,Healthy,0.60175,0.23076923076923078,1.0,0.7192115384615385,0.25,1.0,0.6199992887536359,0.375,0.8666666666666667,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_QRS_Angle_f1_score_mc_dist.pdf
NL_yz,ST,Area,st_Area,not_equal,True,500,0.170418375662634,0.001968582280799173,0.7724224629569617,-1.9546621936881747,-3.934083431051118,0.04505745973496765,False,19.108017448899137,1.6162896648930105,41.91369938139573,0.7185589930439931,0.4871022727272728,0.9090909090909091,Healthy,0.6941023976023976,0.36363636363636365,0.9166666666666666,0.8626450216450217,0.46250000000000074,1.0,0.7681998338708299,0.5,0.9295343137254897,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_Area_f1_score_mc_dist.pdf
NL_yz,ST,T-Dist,st_T-Dist,not_equal,True,500,0.27912913293368574,0.0026138546557362484,0.9389687529987215,-1.3973732988336673,-3.6375564995065233,1.0801616825552547,False,5.13067822561121,-0.11173299679542882,11.912311524053864,0.6662237914862915,0.4798092532467533,0.8934253246753247,Healthy,0.6261958763458763,0.25,1.0,0.8165679487179488,0.27889610389610403,1.0,0.6899379673568439,0.4,0.88,8,13,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_tdist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_boxplot.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_roc.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_cm.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_p_value_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_threshold_mc_dist.pdf,Results/NL_yz/Generated_Plots_MC/NL_yz_ST_T-Dist_f1_score_mc_dist.pdf
