source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
EY_xy,T,Area,t_Area,data2_greater,True,100,0.006555152985590313,0.003237309347234282,0.010661219046819182,-3.1753279203134106,-3.656913026853021,-2.8248062253509616,True,25.627470697522412,17.080546286195247,32.05150862178269,0.9588359788359787,0.8888888888888888,0.9814814814814815,Healthy,0.8833333333333334,0.7777777777777778,0.8888888888888888,1.0,1.0,1.0,0.9377941176470589,0.875,0.9411764705882353,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Area_f1_score_mc_dist.png
EY_xy,T,T-Dist,t_T-Dist,data2_greater,True,100,0.019730052625374726,0.0021288316069922306,0.07807883006979285,-2.527374266848942,-3.5282139575608755,-1.5134159540538643,True,9.674857802115094,7.97587679322375,12.020308065189603,0.8204079365079364,0.7301587301587301,0.9453333333333329,Healthy,0.7352380952380954,0.5555555555555556,0.9524999999999991,0.9478571428571431,0.8333333333333334,1.0,0.8256292607050447,0.7142857142857143,0.9444272445820433,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_T-Dist_f1_score_mc_dist.png
EY_xy,T,Compact,t_Compact,data2_greater,False,100,0.2005291448513174,0.027156040518425784,0.47459409374129835,-0.9854200447189488,-2.0908734415794332,-0.0655315677811809,False,0.4603358727164401,0.10856976271554014,0.6735413089836617,0.6812857142857144,0.5496428571428572,0.8503571428571428,Healthy,0.738,0.5,1.0,0.7271428571428572,0.42857142857142855,1.0,0.760630759307398,0.625,0.8421052631578947,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Compact_f1_score_mc_dist.png
EY_xy,T,Angle,t_Angle,not_equal,False,100,0.21470288828749914,0.08083375652460047,0.47811661983462433,1.449653343986048,0.7532335898918975,2.0448715395308183,False,-81.30323447156147,-91.38032156055496,-75.72884154029278,0.6397142857142858,0.5067857142857143,0.7285714285714285,ARVC,0.5142857142857141,0.42857142857142855,0.5714285714285714,0.9730000000000001,0.9,1.0,0.6603838383838384,0.5454545454545454,0.7272727272727273,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_T_Angle_f1_score_mc_dist.png
EY_xy,QRS,Area,qrs_Area,data2_greater,True,100,0.04861969787539513,0.017706622039019872,0.13960049623846615,-1.935071422440509,-2.4822224077202284,-1.1298721649485761,True,175.98258486314364,40.08368999102389,397.5046323232595,0.7011461640211641,0.5740740740740741,0.815787037037037,Healthy,0.6197777777777778,0.3333333333333333,1.0,0.8442857142857143,0.42857142857142855,1.0,0.7016377951254111,0.5,0.8571428571428571,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Area_f1_score_mc_dist.png
EY_xy,QRS,T-Dist,qrs_T-Dist,data2_greater,True,100,0.11882937282761587,0.010388535360251033,0.4414532126607048,-1.4554754664118599,-2.7201224681960694,-0.15022388623953453,False,33.62083246775151,16.794392755040594,55.02007001049356,0.6750224867724868,0.5396825396825398,0.8368333333333333,Healthy,0.5916944444444444,0.3,0.9,0.8855238095238094,0.4964285714285717,1.0,0.6954545343493046,0.46153846153846156,0.8421052631578947,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_T-Dist_f1_score_mc_dist.png
EY_xy,QRS,Compact,qrs_Compact,data2_greater,True,100,0.2602078203003358,0.03956229208398348,0.6079523101928629,-0.7859706307115059,-1.9134298935155645,0.27965521197639176,False,0.7926388894181635,0.3327953815128812,1.3490555675767917,0.5662584656084656,0.39250000000000007,0.7280555555555555,Healthy,0.5250833333333333,0.1111111111111111,0.9,0.8030952380952381,0.2857142857142857,1.0,0.605335138609166,0.2,0.8123529411764704,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Compact_f1_score_mc_dist.png
EY_xy,QRS,Angle,qrs_Angle,not_equal,False,100,0.461632388381117,0.058036494946216946,0.9230077154792159,0.8338152451794372,-0.29964434122311245,2.145684304277766,False,-115.84215501533703,-143.64058150573712,-19.94964140328927,0.6702857142857143,0.4496428571428572,0.8360714285714285,ARVC,0.8278571428571427,0.3,1.0,0.5862857142857143,0.24750000000000022,1.0,0.6831218908370613,0.42857142857142855,0.7777777777777778,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_QRS_Angle_f1_score_mc_dist.png
EY_xy,ST,Area,st_Area,data2_greater,True,100,0.26887347196753897,0.02736742593016137,0.8933566295153162,-0.8282157557742402,-2.197726772220484,1.3724002253968057,False,inf,-11.427277613197184,,0.5633185941043084,0.23906250000000004,0.8442708333333332,Healthy,0.5289603174603176,0.05937500000000029,1.0,0.8214285714285715,0.2857142857142857,1.0,0.5944101060618088,0.10555555555555607,0.8421052631578947,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_Area_f1_score_mc_dist.png
EY_xy,ST,T-Dist,st_T-Dist,data2_greater,True,100,0.12482127882031939,0.001108935907276263,0.5199713727312023,-1.705333910835297,-3.912189955110492,0.05107032237670022,False,4.009313390638093,0.859843917166816,10.216153618347809,0.7119491307634165,0.48349206349206353,0.9649074074074074,Healthy,0.7009365079365079,0.2222222222222222,1.0,0.8153809523809524,0.42857142857142855,1.0,0.7439186796400082,0.36363636363636365,0.9473684210526315,7,10,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_tdist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_boxplot.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_roc.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_cm.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_p_value_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_threshold_mc_dist.png,Results/EY_xy/Generated_Plots_MC/EY_xy_ST_T-Dist_f1_score_mc_dist.png
