source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
OR_xy,T,Area,t_Area,data2_greater,True,100,0.017669870896931908,0.002520494520061474,0.06042700680385369,-2.7949250557431253,-3.9484132866998096,-1.7229290906788155,True,16.49170352294103,10.92340114034524,23.98108831477119,0.8486394557823129,0.7321428571428571,0.9339285714285713,Healthy,0.7642857142857141,0.5714285714285714,0.8571428571428571,0.9594642857142859,0.8008928571428574,1.0,0.8414505494505494,0.7272727272727273,0.9230769230769231,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Area_f1_score_mc_dist.png
OR_xy,T,T-Dist,t_T-Dist,data2_greater,True,100,0.003883987713089584,2.0451159566961523e-05,0.018067370121694588,-4.016303095232782,-7.0821968115803795,-2.5395032527499315,True,10.814672339843774,8.33911595263362,13.355627016165204,0.9357412131519276,0.8078125,1.0,Healthy,0.8768849206349206,0.6674107142857145,1.0,0.9758928571428572,0.8008928571428574,1.0,0.9196267223488587,0.783846153846154,1.0,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_T-Dist_f1_score_mc_dist.png
OR_xy,T,Compact,t_Compact,data2_greater,False,100,0.6373855738782449,0.2202053113022318,0.9371509761412946,0.4263363149439629,-0.7961399677843836,1.6345545064983618,False,inf,0.024743258972339262,,0.4405555555555555,0.2909722222222223,0.5767361111111109,Healthy,0.5344444444444444,0.0,1.0,0.6375,0.125,1.0,0.5128189597901537,0.0,0.75,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Compact_f1_score_mc_dist.png
OR_xy,T,Angle,t_Angle,not_equal,False,100,0.8135346178790658,0.6900438781295221,0.9432525865608912,0.24235265723267319,0.059707302279817825,0.412945893074349,False,53.17489952525511,-105.37872208494763,82.7777869346197,0.35805555555555557,0.25,0.4656249999999999,ARVC,0.21125,0.125,0.75,0.9272222222222223,0.4444444444444444,1.0,0.28049654439128124,0.2222222222222222,0.631578947368421,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_T_Angle_f1_score_mc_dist.png
OR_xy,QRS,Area,qrs_Area,data2_greater,True,100,0.04594751103374683,0.016138969988331798,0.1285191932619408,-2.0335262095561366,-2.573307236220107,-1.2196423119004858,True,151.70698849980624,78.77837504442402,425.8365190592381,0.6982054280045351,0.53125,0.8253968253968255,Healthy,0.5397023809523809,0.2857142857142857,0.7777777777777778,0.979107142857143,0.8571428571428571,1.0,0.6836373071373072,0.4444444444444444,0.8095454545454545,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Area_f1_score_mc_dist.png
OR_xy,QRS,T-Dist,qrs_T-Dist,data2_greater,True,100,0.05925545070669849,0.0010479799136293806,0.20442272160322536,-2.049962604225647,-4.2652210661392775,-0.8593770963014478,False,35.940020438388586,20.46294551495206,49.67773736764368,0.7375208333333334,0.5482638888888889,0.9194010416666667,Healthy,0.6442698412698412,0.4444444444444444,1.0,0.9060714285714286,0.5593750000000003,1.0,0.7345333182469405,0.6153846153846154,0.9056249999999995,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_T-Dist_f1_score_mc_dist.png
OR_xy,QRS,Compact,qrs_Compact,data2_greater,True,100,0.3408146268041584,0.05245564256145781,0.8683942518459722,-0.48930658480650757,-1.744789891068936,1.1695777485365528,False,inf,0.09218229674424182,1.19430682200441,0.5364831349206349,0.38159722222222225,0.6739583333333332,Healthy,0.44958333333333333,0.1111111111111111,1.0,0.8348214285714286,0.1843750000000003,1.0,0.5266159920074243,0.2,0.7272727272727273,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Compact_f1_score_mc_dist.png
OR_xy,QRS,Angle,qrs_Angle,not_equal,False,100,0.5570280584261983,0.23364455860109662,0.9654388840234546,0.6331778265239602,-0.07697763400965019,1.2711148122972582,False,44.96833073399885,-102.47061713578655,80.20619408114749,0.4109722222222221,0.2916666666666667,0.6958333333333329,ARVC,0.2981944444444445,0.25,0.8361111111111101,0.9680555555555556,0.75,1.0,0.43385376989711355,0.36363636363636365,0.8115497076023386,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_QRS_Angle_f1_score_mc_dist.png
OR_xy,ST,Area,st_Area,data2_greater,True,100,0.2899250281238711,0.006654399632851033,0.8685327652420596,-0.9076554620820475,-3.1542200367226636,1.1734440814130411,False,15.553390148873845,4.045144528683734,42.596630419665814,0.6227492205215419,0.3468750000000001,0.9237244897959183,Healthy,0.6469642857142857,0.2857142857142857,1.0,0.8030952380952381,0.5,1.0,0.6860885160591041,0.4,0.9284615384615384,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_Area_f1_score_mc_dist.png
OR_xy,ST,T-Dist,st_T-Dist,data2_greater,True,100,0.288156131195,0.00909057785179124,0.9597574385586158,-0.876545143643225,-2.7622226423486613,1.924174687182124,False,inf,-0.4492582962728101,,0.5750648384353741,0.3124503968253968,0.8359374999999997,Healthy,0.5645634920634921,0.052777777777778034,1.0,0.7896428571428571,0.125,1.0,0.5984199342356092,0.09500000000000047,0.841176470588235,8,9,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_tdist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_boxplot.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_roc.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_cm.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_p_value_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_threshold_mc_dist.png,Results/OR_xy/Generated_Plots_MC/OR_xy_ST_T-Dist_f1_score_mc_dist.png
