source,segment,feature,column_name,hypothesis_tested,outliers_removed,p_value,t_statistic,significant_ttest (p<0.05),optimal_threshold,roc_auc,roc_positive_class_for_metrics,sensitivity_of_roc_pos_class,specificity_for_other_class,f1_score_of_roc_pos_class,n_arvc_initial,n_healthy_initial,plot_roc_path,plot_cm_path,plot_boxplot_path,plot_ttest_dist_path
OY_xy,T,Area,t_Area,data2_greater,True,0.0034675228175482715,-3.4902658403197147,True,17.561684984348624,0.9365079365079365,Healthy,0.7777777777777778,1.0,0.875,8,10,Results/OY_xy/Generated_Plots/OY_xy_T_Area_roc.png,Results/OY_xy/Generated_Plots/OY_xy_T_Area_cm.png,Results/OY_xy/Generated_Plots/OY_xy_T_Area_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_T_Area_tdist.png
OY_xy,T,T-Dist,t_T-Dist,data2_greater,True,0.11751016706440802,-1.2584170333906985,False,7.217201919768488,0.7083333333333333,Healthy,0.8888888888888888,0.75,0.8421052631578947,8,10,Results/OY_xy/Generated_Plots/OY_xy_T_T-Dist_roc.png,Results/OY_xy/Generated_Plots/OY_xy_T_T-Dist_cm.png,Results/OY_xy/Generated_Plots/OY_xy_T_T-Dist_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_T_T-Dist_tdist.png
OY_xy,T,Compact,t_Compact,data2_greater,False,0.022779948128202422,-2.1685064349423047,True,0.4236976456651005,0.7625,Healthy,0.8,0.75,0.8,8,10,Results/OY_xy/Generated_Plots/OY_xy_T_Compact_roc.png,Results/OY_xy/Generated_Plots/OY_xy_T_Compact_cm.png,Results/OY_xy/Generated_Plots/OY_xy_T_Compact_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_T_Compact_tdist.png
OY_xy,T,Angle,t_Angle,not_equal,False,0.5871176512827745,0.5607812560645924,False,73.92887473930097,0.4875,ARVC,0.375,1.0,0.5454545454545454,8,10,Results/OY_xy/Generated_Plots/OY_xy_T_Angle_roc.png,Results/OY_xy/Generated_Plots/OY_xy_T_Angle_cm.png,Results/OY_xy/Generated_Plots/OY_xy_T_Angle_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_T_Angle_tdist.png
OY_xy,QRS,Area,qrs_Area,data2_greater,True,0.3528873700435945,-0.3872928450883308,False,36.616589846143825,0.6507936507936508,Healthy,0.8888888888888888,0.5714285714285714,0.8,8,10,Results/OY_xy/Generated_Plots/OY_xy_QRS_Area_roc.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Area_cm.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Area_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Area_tdist.png
OY_xy,QRS,T-Dist,qrs_T-Dist,data2_greater,True,0.5589890581208083,0.15306538383276666,False,19.00167522911214,0.5555555555555555,Healthy,1.0,0.5,0.8181818181818182,8,10,Results/OY_xy/Generated_Plots/OY_xy_QRS_T-Dist_roc.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_T-Dist_cm.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_T-Dist_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_T-Dist_tdist.png
OY_xy,QRS,Compact,qrs_Compact,data2_greater,True,0.5070614014232908,0.018029589780180866,False,0.3830029961034945,0.5125,Healthy,0.6,0.625,0.631578947368421,8,10,Results/OY_xy/Generated_Plots/OY_xy_QRS_Compact_roc.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Compact_cm.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Compact_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Compact_tdist.png
OY_xy,QRS,Angle,qrs_Angle,not_equal,False,0.1299710808483987,1.7033805433831157,False,49.67758005956354,0.5375,ARVC,0.5,1.0,0.6666666666666666,8,10,Results/OY_xy/Generated_Plots/OY_xy_QRS_Angle_roc.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Angle_cm.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Angle_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_QRS_Angle_tdist.png
OY_xy,ST,Area,st_Area,data2_greater,True,0.08827893108357505,-1.4766407446363856,False,27.747367860884708,0.537037037037037,Healthy,0.3333333333333333,1.0,0.5,8,10,Results/OY_xy/Generated_Plots/OY_xy_ST_Area_roc.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Area_cm.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Area_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Area_tdist.png
OY_xy,ST,T-Dist,st_T-Dist,data2_greater,True,0.09248767093477213,-1.4011961060627218,False,10.583658576165142,0.6214285714285714,Healthy,0.4,1.0,0.5714285714285714,8,10,Results/OY_xy/Generated_Plots/OY_xy_ST_T-Dist_roc.png,Results/OY_xy/Generated_Plots/OY_xy_ST_T-Dist_cm.png,Results/OY_xy/Generated_Plots/OY_xy_ST_T-Dist_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_ST_T-Dist_tdist.png
OY_xy,ST,Compact,st_Compact,data2_greater,True,0.7291480744839542,0.6257373261736997,False,0.5580026245064047,0.325,Healthy,0.3,1.0,0.46153846153846156,8,10,Results/OY_xy/Generated_Plots/OY_xy_ST_Compact_roc.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Compact_cm.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Compact_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Compact_tdist.png
OY_xy,ST,Angle,st_Angle,not_equal,False,0.29249733775468517,-1.0885431142815707,False,85.70063636549877,0.725,Healthy,0.6,1.0,0.75,8,10,Results/OY_xy/Generated_Plots/OY_xy_ST_Angle_roc.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Angle_cm.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Angle_boxplot.png,Results/OY_xy/Generated_Plots/OY_xy_ST_Angle_tdist.png
